Type,Days for shipping (real),Days for shipment (scheduled),Order Region,Delivery Status,Late_delivery_risk,Category Name,Customer City,Order Item Total
PAYMENT,3,2,Western Europe,Late delivery,1,Cardio Equipment,Caguas,293.9700012
PAYMENT,2,2,Western Europe,Shipping on time,0,Cardio Equipment,Caguas,269.9700012
PAYMENT,6,2,Western Europe,Late delivery,1,Cardio Equipment,Caguas,224.9799957
PAYMENT,4,2,Western Europe,Late delivery,1,Cleats,Caguas,176.3699951
PAYMENT,3,2,Western Europe,Late delivery,1,Cleats,Caguas,161.9700012
PAYMENT,2,2,Western Europe,Shipping on time,0,Women's Apparel,Caguas,139.5
PAYMENT,3,2,Western Europe,Late delivery,1,Women's Apparel,Caguas,112.5
PAYMENT,6,2,Western Europe,Late delivery,1,Trade-In,Caguas,55.40999985
DEBIT,4,2,Western Europe,Late delivery,1,Cameras ,Caguas,447.519989
DEBIT,3,2,Western Europe,Late delivery,1,Consumer Electronics,Caguas,250.3500061
DEBIT,6,2,Western Europe,Late delivery,1,Cameras ,Caguas,443.0
DEBIT,3,2,Western Europe,Late delivery,1,Consumer Electronics,Caguas,245.2899933
DEBIT,6,2,Western Europe,Late delivery,1,Consumer Electronics,Caguas,240.2400055
DEBIT,2,2,Western Europe,Shipping on time,0,Cameras ,Caguas,427.1799927
DEBIT,3,2,Western Europe,Late delivery,1,Cameras ,Caguas,427.1799927
DEBIT,5,2,Western Europe,Late delivery,1,Computers,Caguas,1365.0
DEBIT,6,2,Western Europe,Late delivery,1,Consumer Electronics,Caguas,227.5899963
DEBIT,3,2,Western Europe,Late delivery,1,Consumer Electronics,Caguas,214.9499969
DEBIT,3,2,Western Europe,Late delivery,1,Cameras ,Caguas,379.7099915
DEBIT,5,2,Western Europe,Late delivery,1,Consumer Electronics,Caguas,209.8899994
DEBIT,6,2,Western Europe,Late delivery,1,Consumer Electronics,Caguas,207.3600006
DEBIT,5,2,Western Europe,Late delivery,1,Basketball,Caguas,989.9899902
DEBIT,5,2,Western Europe,Late delivery,1,Cardio Equipment,Caguas,95.98999786
DEBIT,4,2,Western Europe,Late delivery,1,Electronics,Caguas,41.84000015
DEBIT,5,2,Western Europe,Late delivery,1,Cardio Equipment,Caguas,89.98999786
DEBIT,5,2,Western Europe,Late delivery,1,Cardio Equipment,Caguas,87.98999786
DEBIT,6,4,Western Europe,Late delivery,1,Baseball & Softball,Oak Lawn,284.9500122
DEBIT,3,4,Western Europe,Advance shipping,0,Cardio Equipment,Alhambra,494.9500122
DEBIT,6,4,Western Europe,Late delivery,1,Cardio Equipment,North Tonawanda,489.9500122
DEBIT,2,4,Western Europe,Advance shipping,0,Cardio Equipment,Phoenix,484.9500122
DEBIT,4,4,Western Europe,Shipping on time,0,Cardio Equipment,Kenner,484.9500122
DEBIT,2,4,Western Europe,Advance shipping,0,Cardio Equipment,Washington,484.9500122
DEBIT,5,4,Western Europe,Late delivery,1,Electronics,Holland,155.1499939
DEBIT,2,4,Western Europe,Advance shipping,0,Cardio Equipment,Chicago,474.9500122
DEBIT,5,4,Western Europe,Late delivery,1,Fitness Accessories,Los Angeles,166.1999969
PAYMENT,6,2,Western Europe,Late delivery,1,Cardio Equipment,Caguas,395.9599915
PAYMENT,2,2,Western Europe,Shipping on time,0,Electronics,Caguas,126.6800003
PAYMENT,2,2,Western Europe,Shipping on time,0,Cardio Equipment,Caguas,391.9599915
